006, 324, 403, _, _, FN
026, 7467, 7500, _, _, FN
026, 9345, 9403, _, _, FN
026, 9404, 9624, 9530, 9920, FP
026, 9625, 9895, _, _, FN
026, 10469, 10542, 10385, 10515, FP
026, 10469, 10542, 10480, 10520, TP
026, _, _, 10810, 10935, FP
026, _, _, 10835, 10895, FP
026, 11244, 11337, 11205, 11395, FP
026, 11244, 11337, 11260, 11340, TP
026, 12713, 12925, 12730, 12905, TP
026, 13646, 13740, 13510, 13760, FP
026, 13744, 13843, _, _, FN
026, _, _, 14850, 15025, FP
026, _, _, 14925, 14965, FP
026, _, _, 15845, 16005, FP
026, 16475, 16550, _, _, FN
030, 379, 460, 145, 585, FP
030, 2754, 3310, 2985, 3500, FP
030, 4276, 4495, 4175, 4625, FP
030, 4344, 4434, _, _, FN
030, _, _, 5090, 5270, FP
030, _, _, 5170, 5305, FP
030, 5942, 6137, 5595, 6095, FP
030, 5942, 6137, 6025, 6510, FP
030, 7377, 7702, 7030, 7455, FP
030, 7422, 7502, _, _, FN
030, 9115, 9439, 8735, 9290, FP
032, 584, 875, _, _, FN
032, 1446, 1796, 1455, 1710, TP
032, 1446, 1796, 1645, 1825, FP
032, 2193, 2905, 2230, 2405, FP
032, 2915, 3464, 2975, 3145, FP
032, 2915, 3464, 3085, 3275, FP
032, 4573, 4713, 4590, 4755, TP
032, 5071, 5241, _, _, FN
032, 5266, 5310, _, _, FN
032, 6737, 6811, _, _, FN
032, 6967, 7048, _, _, FN
032, 7494, 7565, _, _, FN
032, 10393, 10457, _, _, FN
032, 11673, 11870, _, _, FN
032, 11967, 12193, 11940, 12145, TP
032, 13451, 13592, _, _, FN
032, 14943, 15002, _, _, FN
032, 15088, 15525, 15115, 15285, FP
033, _, _, 255, 505, FP
033, 872, 1213, 930, 1205, TP
033, 957, 1009, _, _, FN
033, 1541, 1609, 1405, 1805, FP
033, 1889, 1973, _, _, FN
033, 2209, 2943, 2020, 2385, FP
033, 2209, 2943, 2375, 2775, TP
033, 2950, 5688, 2965, 3550, FP
033, 2950, 5688, 3640, 3880, FP
033, 2950, 5688, 3875, 4210, FP
033, 2950, 5688, 4145, 4430, FP
033, 2950, 5688, 4340, 4680, FP
033, 2950, 5688, 4605, 4995, FP
033, 2950, 5688, 5100, 5440, FP
033, 2950, 5688, 5340, 5640, FP
033, 6390, 6471, _, _, FN
033, _, _, 6520, 6815, FP
033, 7786, 8010, 7720, 7945, TP
033, 7812, 7910, _, _, FN
033, 8501, 8606, _, _, FN
033, 10313, 10443, 10040, 10350, FP
033, 10313, 10443, 10335, 10565, FP
033, _, _, 10560, 10810, FP
033, 11291, 11574, 11165, 11455, FP
033, 11291, 11574, 11385, 11670, FP
033, _, _, 11675, 11915, FP
033, 12644, 12781, 12615, 12845, TP
033, _, _, 13380, 13555, FP
033, 13637, 14001, 13835, 14110, FP
033, _, _, 14450, 14660, FP
033, 14942, 15107, 14810, 15065, FP
033, _, _, 15440, 15670, FP
033, _, _, 16490, 16650, FP
033, _, _, 16555, 16635, FP
033, _, _, 18070, 18250, FP
033, 18835, 19285, 18890, 19085, FP
034, 129, 217, _, _, FN
034, 708, 866, 650, 790, FP
034, 708, 866, 740, 840, FP
034, 708, 866, 765, 895, TP
034, 4022, 4211, 4050, 4200, TP
034, 4022, 4211, 4085, 4175, FP
034, _, _, 4845, 5000, FP
034, 5538, 6044, 5615, 5900, TP
034, 6078, 6155, _, _, FN
034, 6627, 6843, 6545, 6665, FP
034, 6627, 6843, 6555, 6650, FP
034, _, _, 6545, 6665, FP
034, _, _, 6555, 6650, FP
034, 8136, 8219, _, _, FN
035, 523, 730, _, _, FN
035, 649, 691, _, _, FN
035, 1527, 1742, 1610, 1980, FP
035, 2643, 2756, 2650, 3055, FP
035, 2794, 2944, _, _, FN
035, _, _, 3220, 3495, FP
035, 3959, 4523, 3750, 4370, TP
035, 4959, 5232, 4830, 5045, FP
035, 5463, 5495, 5370, 5610, FP
035, _, _, 6080, 6485, FP
035, 6696, 6823, 6680, 6845, TP
035, 6696, 6823, 6690, 6835, FP
035, 6741, 6806, _, _, FN
035, 8486, 8574, 8430, 8640, FP
035, 8641, 8701, _, _, FN
035, 10642, 10706, _, _, FN
035, 11414, 11470, 11390, 11590, FP
035, 11414, 11470, 11390, 11525, FP
035, _, _, 14150, 14485, FP
035, 14622, 16253, 15205, 15420, FP
035, 14622, 16253, 15550, 15910, FP
035, 14622, 16253, 15835, 16035, FP
035, 15621, 16084, _, _, FN
035, 16563, 16867, 16580, 16780, TP
035, 17691, 17786, 17665, 18070, FP
035, _, _, 20420, 20885, FP
035, 21395, 21610, 21470, 21645, TP
035, 22059, 22162, 22060, 22225, TP
035, _, _, 22460, 22895, FP
035, _, _, 23030, 23220, FP
035, 23832, 24022, _, _, FN
035, _, _, 24060, 24475, FP
035, 24677, 24721, 24615, 24780, FP
035, 24677, 24721, 24635, 24770, FP
036, 1228, 3177, 1450, 1945, FP
036, 1228, 3177, 1825, 2120, FP
036, 1228, 3177, 2735, 3080, FP
036, 1744, 2122, _, _, FN
036, 2639, 3170, _, _, FN
036, 3311, 3859, 3530, 3820, TP
036, 4883, 5171, 4820, 5080, TP
036, 6791, 6970, 6645, 7160, FP
036, 6971, 7329, _, _, FN
036, _, _, 7870, 7990, FP
036, _, _, 7925, 7985, FP
036, 8890, 9530, 8785, 9075, FP
036, 8890, 9530, 8900, 9995, TP
036, 9531, 10308, 9780, 10010, FP
036, 9531, 10308, 10200, 10480, FP
036, 9531, 10308, 10205, 12185, FP
036, 10309, 11067, 10410, 10650, FP
036, 10309, 11067, 10765, 10990, FP
036, 10309, 11067, 10830, 10920, FP
036, 11068, 13316, 11670, 13790, TP
036, 11068, 13316, 11915, 12160, FP
036, 11068, 13316, 13280, 13620, FP
036, _, _, 14035, 14225, FP
036, 14369, 14767, 14465, 14825, TP
036, 14978, 18913, 14970, 15345, FP
036, 14978, 18913, 15540, 15870, FP
036, 14978, 18913, 16580, 16845, FP
036, 14978, 18913, 17615, 17790, FP
036, 14978, 18913, 18660, 18915, FP
036, 15526, 16057, _, _, FN
036, 15581, 15680, _, _, FN
036, 16732, 17036, _, _, FN
036, 19327, 19631, 19155, 19625, TP
036, 19327, 19631, 19625, 19810, FP
037, 1171, 1307, 1115, 1250, FP
037, 2860, 3122, 2805, 2930, FP
037, 4576, 4675, 4625, 4780, FP
037, 4684, 4852, _, _, FN
037, 4686, 4762, _, _, FN
037, 6433, 6551, 6420, 6615, TP
037, 6434, 6523, _, _, FN
037, 8350, 8919, 8315, 8440, FP
037, 9934, 10059, 9930, 10055, TP
037, 12151, 12277, 12120, 12245, TP
037, 12151, 12277, 12145, 12280, FP
037, 14641, 15090, _, _, FN
037, _, _, 15745, 15900, FP
037, 16239, 16568, _, _, FN
099, 524, 574, 445, 625, FP
099, 1151, 1602, 1405, 1695, FP
099, 2565, 2721, _, _, FN
099, 2762, 2876, _, _, FN
099, 2764, 2836, _, _, FN
099, 5563, 5719, _, _, FN
099, 5750, 5937, _, _, FN
099, 5974, 6187, _, _, FN
099, 6418, 6536, _, _, FN
099, 6860, 6974, _, _, FN
099, _, _, 7890, 8040, FP
099, 8074, 8145, 8065, 8170, TP
099, _, _, 8150, 8245, FP
099, _, _, 8165, 8235, FP
099, 8643, 8770, 8655, 8860, TP
099, 8775, 8838, _, _, FN
099, 8992, 9080, 9045, 9200, FP
099, 9300, 9538, 9300, 9435, TP
099, 9300, 9538, 9320, 9425, FP
099, _, _, 9300, 9435, FP
099, _, _, 9320, 9425, FP
099, 10036, 10091, _, _, FN
